;fr (source);zh_ref ;zh_google;zh_chatgpt;zh_mBart
;une douleur aiguë du côté gauche de votre poitrine ?;左胸感到刺痛吗？;胸部左侧有剧烈疼痛？ ;您左侧胸口有尖锐的疼痛吗？;您的右胸急性疼痛?
;y a-t-il d’autres personnes malades chez vous avec les mêmes symptômes ?;家中有没有其他亲属生病并出现与您一样的症状？;您家里还有其他病人出现同样的症状吗？ ;家里还有其他人也有相同症状吗？;您的家中还有其他人患有相同的症状吗?
;éprouvez-vous des difficultés pour respirer actuellement?;您现在有呼吸困难吗？;您现在呼吸困难吗？ ;您现在呼吸有困难吗？;现在呼吸困难吗?
;avez-vous d’autres symptômes ?;还有任何其他症状吗？;您还有其他症状吗？ ;您还有其他症状吗？;还有什么其他症状?
;êtes-vous essoufflé(e) ?;您现在感到气促吗？;你呼吸困难吗？ ;您有没有感到气喘？;感到气促?
;avez-vous encore des douleurs dans la poitrine?;您现在还有胸痛吗;您还感到胸痛吗？ ;您胸口还在疼吗？;还有胸痛吗?
;parce que c’est la saison de la grippe;因为现在是流感季节;因为现在是流感季节 ;因为现在是流感季节。;因为现在是流感季
;outre le diabète, avez-vous d’autres problèmes ou maladies graves?;除了糖尿病，您还有其他问题或严重疾病吗？;除了糖尿病以外，您还有其他严重的问题或疾病吗？ ;除了糖尿病，您还有其他严重的健康问题或疾病吗？;除了糖尿病,您还有其他严重的问题或疾病吗?
;mais nous ne devrions pas non plus écarter la possibilité d'une douleur thoracique liée à un problème cardiaque;同时，我们不应排除心源性胸痛;但我们也不应排除与心脏问题有关的胸痛的可能性 ;但我们也不应排除与心脏有关的胸痛的可能性。;我们还不应该排除与心脏问题有关的胸痛的可能性
;mais cette douleur dans la poitrine est un problème plus important maintenant;但现在更重要的问题是胸痛;但现在胸痛的问题更大了。 ;但这次胸痛是个更严重的问题。;但是现在,这种胸痛已成为更大的问题
;mais si vous toussez;但如果您有咳嗽;但如果你咳嗽;但如果您在咳嗽……;如果您咳嗽
;mais j’ai des difficultés à respirer;但我有呼吸困难;但我呼吸困难;但是我呼吸有困难。;但我呼吸困难
;mais je sais que beaucoup de personnes toussent sur moi;但我知道很多人冲我咳嗽;但我知道很多人对着我咳嗽;但是我知道有很多人对着我咳嗽。;我知道很多人咳嗽我
;mais nous devons traiter toute douleur dans la poitrine avec le plus grand soin;我们需要严肃对待每一种胸痛;但我们必须极其小心地治疗任何胸痛;但是我们必须非常小心地对待任何胸痛。;但是,我们应该以最大谨慎的态度处理任何胸痛
;mais vous respirez normalement actuellement, n’est-ce pas ?;但您目前呼吸顺畅，对吗？;但你现在呼吸正常，不是吗？;但是您现在呼吸是正常的，对吧？;但是现在您正在呼吸正常,对不对?
;parce que j’ai complètement oublié à cause de cette douleur dans la poitrine;完全忘记造成这次胸痛的原因;因为我胸口痛得完全忘记了;因为这胸口的疼痛让我完全忘记了。;由于我的胸部感到疼痛,我完全忘记了
;parce qu’ils toussent;他们存在咳嗽症状;因为他们咳嗽;因为他们在咳嗽。;因为他们咳嗽
;est-ce que vous avez l’impression qu’on vous compresse la poitrine;感觉有人在挤压您的胸部吗;您是否感觉胸部受到挤压？;您有没有感觉胸口像被压住一样？;您感到胸痛吗?
;êtes-vous encore essoufflé(e);仍然感到气促;你还喘不过气吗;您还在气喘吗？;还是感到气促
;se plaignent-ils d’être malades ou d’avoir des symptômes similaires ?;他们也在抱怨身体不适并出现类似症状吗？;他们是否抱怨生病或出现类似症状？;他们有没有说自己不舒服，或者有类似的症状？;他们为患病或出现类似症状而感到恶心吗?
;savez-vous si vous avez des problèmes de tension ?;据您所知，您的血压有问题吗？;您知道自己是否有血压问题吗？;您知道自己有没有高血压问题吗？;你知道有紧张症状吗?
;avez-vous une autre affection chronique comme de l’hypertension ou quelque chose de similaire ?;您还有任何其他慢性病吗？比如，高血压或类似疾病。;您是否有其他慢性疾病，如高血压或类似疾病？;您有其他慢性病，比如高血压或类似的疾病吗？;还有其他一些慢性疾病吗,例如高血压或其他类似的疾病?
;avez-vous d’autres maladies, des problèmes médicaux chroniques comme le diabète ?;还有任何其他疾病和慢性健康问题吗？比如，糖尿病。;您有其他疾病、糖尿病等慢性疾病吗？;您有其他疾病吗？比如糖尿病等慢性健康问题？;还有其他疾病吗,如糖尿病等长期医疗问题?
;êtes-vous essoufflé(e) en plus de cette douleur dans la poitrine ?;您的胸痛伴有气促症状吗？;除了胸痛之外，您还出现呼吸困难吗？;除了胸口的疼痛，您还有气喘的症状吗？;除了胸痛之外,您还有气促症状吗?
;avez-vous de l’hypertension ?;您有高血压病史吗？;你有高血压吗 ？;您有高血压吗？;您高血压吗?
;êtes-vous essoufflé(e) en plus de cela ?;您有气促症状吗？;除此之外，您还感到上气不接下气吗？;除此之外您还气喘吗？;此外,您还有气促症状吗?
;savez-vous quels symptômes elle avait ?;您知道她有什么症状吗？;你知道她有什么症状吗？;您知道她当时有哪些症状吗？;您知道她有什么症状吗?
;vos proches ont-ils les mêmes symptômes;您的亲属有同样的症状吗;您的亲人是否有同样的症状？;您的亲人也有相同的症状吗？;您的亲人也有相同的症状
;voyez-vous l’image ?;您看到图像了吗？;你看到图片了吗？;您看到图像了吗？;看到了图像吗?
;buvez beaucoup de liquide aujourd’hui;今天喝了很多水;今天多喝水;今天请多喝水。;多喝水今天
;vous avez une toux sèche, un rhume, le nez qui coule, des vomissements, la diarrhée;干咳、感冒、流鼻涕、呕吐、腹泻;你有干咳、感冒、流鼻涕、呕吐、腹泻;您有干咳、感冒、流鼻涕、呕吐或腹泻吗？;您有干咳, 发热,流鼻涕,呕吐,腹泻,鼻涕
;cependant je fais les tests pour le diabète;但我接受了糖尿病的检查;然而我做了糖尿病测试;不过我正在做糖尿病的检查。;但是,我正在进行糖尿病检测
;cependant elle a des symptômes plutôt similaires aux miens;但她的症状与我的症状十分相似;但她的症状与我的很相似;不过她的症状跟我蛮像的。;但是,我的症状与其他人相似
;combien avez-vous de fièvre ?;您的发热达到多少度？;你发烧多少度？;您发烧多少度？;发热量多少
;quelle est votre tension ?;您的血压如何？;你的血压是多少？;您的血压是多少？;您的紧张程度如何?
;je ne pense pas faire de l’hypertension;我想我没有高血压病史;我认为我没有高血压;我不认为我有高血压。;我不打算说高血压
;je ressens une douleur dans la poitrine ici à l’avant de la poitrine;我的前胸部位感到疼痛;我感觉胸口前部疼痛;我在胸口正前方感到一阵疼痛。;我的前胸感到胸痛
;si vous avez toujours une forte fièvre;如果您继续高热不退;如果你还发高烧;如果您仍然有高烧的话。;如果您仍然有强发热症状
;si vous avez cent-deux de fièvre ou plus;如果您的发热达到 102°F 或以上;如果你发烧 102 度或以上;如果您发烧达到华氏102度（约38.9℃）或以上。;如果您发热 120 度以上
;si vous pensez que vos symptômes ou problèmes méritent d’être examinés de plus près;如果您认为自己的症状或问题有必要进一步观察;如果您认为您的症状或问题需要进一步检查;如果您认为您的症状或问题值得更仔细检查。;您认为自己的症状或问题值得进一步研究
;j’ai eu de la fièvre hier;我昨天发热;我昨天发烧了;我昨天发烧了。;我昨天发热
;j’ai eu aussi une légère fièvre;我也出现低热症状;我还有点发烧;我也有一点点发烧。;我还有轻微的发热症状
;La population humaine dans son ensemble est, de manière générale, dépourvue d’immunité au SARS-CoV-2 et est donc vulnérable au nouveau virus.;我昨天发热;我昨天发烧了;我昨天发过烧。;总体而言,整个人类没有 SARS-CoV-2 的免疫,因此,在新型病毒传播中处于弱势状态。
;j’ai ressenti une brève douleur aiguë dans la poitrine;人类普遍缺乏对 SARS-CoV-2 的免疫力，因此对这种新型病毒易感。;总的来说，人类整体上对SARS-CoV-2病毒缺乏免疫力，因此容易感染这种新型病毒。;总体而言，人类群体普遍缺乏对 SARS-CoV-2 的免疫力，因此容易受到这种新型病毒的感染。;我感到急性胸痛
;j’ai ressenti une douleur aiguë ici dans la poitrine;我的胸部出现短暂刺痛;我感到胸口一阵剧痛;我在胸口这里感到一阵剧痛。;我感到急性胸痛
;mais j’ai le rhume des foins aussi;我的胸部刺痛;但我也有花粉症;但我也有花粉过敏。;但是我也患有花粉症
;j’ai fait sur le corps autour de la poitrine ?;但我也有花粉症;我在身体胸部周围做了什么？;我身上围绕胸口这一带起了一些反应吗？;我擦过胸部周围的尸体了吗?
;j’ai quelques difficultés à respirer aussi;我对胸部区域进行了处理？;我呼吸也有些困难;我也有点呼吸困难。;我也有呼吸困难
;je vous enverrai une image;我也有些呼吸困难;我会给你发一张照片;我会给您发一张图。;我会发给您一张图像
;j’ai mal à la poitrine aujourd’hui;我会发给您一张图像;我今天胸口痛;我今天胸口很疼。;今天我的胸部很痛
;j’ai des maux de tête et un peu de fièvre aujourd’hui;我今天有些胸痛;我今天头疼，还有点发烧;我今天头痛，还有一点发烧。;今天我的头痛和有点发热
;selon moi c’est la grippe;我今天有些头痛和发热;我认为这是流感;我觉得这是流感。;我认为这是流感
;je pense que c’est une petite grippe;我认为这是流感;我觉得有点感冒;我觉得这像是轻微的流感。;我认为这是一场轻微的流感
;je vois que ça part du centre de votre poitrine et que ça remonte vers votre nuque;我认为这是轻微流感;我看到它从你的胸部中央开始，一直延伸到你的颈后。;我看到疼痛是从胸口中央向脖子方向延伸的。;可以看到,从您的胸部中部开始,然后朝您的臀部
;c’est comme si une personne très lourde était assise sur votre poitrine ?;我看到它从胸部中心一直延伸到您的颈部;感觉就像有一个很重的人坐在你的胸口上？;是不是感觉像有一个很重的人坐在您胸口上？;感觉像是坐在您胸口的是一位非常重症的人?
;ça a commencé par des maux de tête avec de la fièvre à peu près en même temps;像是一个很重的人坐在您胸口吗？;大约在同一时间开始出现头痛和发烧;最开始是头痛和发烧差不多同时开始的。;开始出现头痛和发热症状,几乎同时发热
;ça fait mal dans la poitrine;头痛和发热几乎同时开始;胸部很痛;胸口很痛。;胸痛
;ça fait mal au milieu de ma poitrine;胸痛;我的胸部中间很痛;我胸口中间很痛。;我的胸部中部感到疼痛
;c’est une douleur oppressante dans la poitrine;我的胸口痛;胸部有种压抑的疼痛;这是一种压迫感的胸痛。;胸痛令人压迫
;c’est dans ma poitrine;挤压式胸痛;它在我的胸口;就在我胸口这里。;在我的胸口
;c’est au centre de ma poitrine;在我的胸部;它在我的胸口中央;是在我胸口的正中间。;在我的胸部中部
;c’est au centre de la poitrine;在我的胸口;它位于胸部中央;是在胸口正中。;在我的胸部中部
;ça se passe pile au centre de ma poitrine;在胸口;它就发生在我的胸口中央;就是胸口正中间的地方。;我的胸部发生了重症
;c’est pile au centre de ma poitrine;刚好发生在我的胸口;它就在我的胸口中央;就在我胸口正中央。;在我的胸部中部 piles up
;ça ressemble à un simple rhume ou à une grippe;刚好在我的胸口;看起来像普通感冒或流感;听起来像是普通感冒或流感。;像是 simple感冒或流感
;j’ai une douleur dans la poitrine;听起来可能是普通感冒或流感。;我的胸口有疼痛感;我胸口有疼痛。;我感到胸痛
;cette douleur thoracique m’inquiète beaucoup;我感到胸痛;胸痛让我很担心;这胸口的疼痛让我很担心。;这种胸痛令我非常担忧
;je veux que vous me décriviez cette douleur dans la poitrine;胸痛让我非常苦恼;我要你向我描述一下我胸口的疼痛;我希望您能描述一下这种胸口的疼痛。;我希望您描述一下我的胸痛
;Du plasma a ainsi été extrait du sang d’un groupe de patients ayant guéri de la COVID-19 et injecté à 10 malades gravement atteints.	;基于此原理，从一组已经康复的 COVID-19 患者血液中采集血浆，然后注射给 10 名危重患者。;从一组新冠肺炎康复患者的血液中提取血浆，并注射到 10 名重症患者体内。;从一组已经康复的 COVID-19 患者的血液中提取了血浆，并将其注射给了 10 名病情严重的患者。;该方法从一批 COVID-19 康复患者的血液中提取血浆,并给 10 名重症患者静脉注射。
