fr	zh
Depuis, la maladie résultant de l’infection au SARS-CoV-2 a été baptisée maladie à coronavirus (COVID-19).	此后，由 SARS-CoV-2 感染引起的疾病被命名为冠状病毒疾病 (COVID-19)。
À ce jour, environ 80 % des personnes atteintes de la COVID-19 présentent une affection bénigne, c.-à-d. une infection des voies respiratoires avec ou sans pneumonie, dont la plupart guérissent.	迄今为止的证据表明，大约 80% 的 COVID-19 病例为轻症，即伴或不伴肺炎的呼吸道感染，并且大多数都能康复。
Dans environ 14 % des cas, la COVID-19 entraîne une atteinte plus sévère nécessitant une hospitalisation, tandis que les 6 % de cas restants développent une forme grave de la maladie nécessitant des soins intensifs.	在大约 14% 的病例中，COVID-19 会进展为重症并需要住院治疗，而其余 6% 的病例会进展为危重症并需要重症监护。
La mortalité des patients hospitalisés en raison de la COVID-19 est d’environ 4 %.	因 COVID-19 而住院的患者死亡率约为 4%。
Dans le cadre de cette étude, nous évaluons l’évolution de l’incidence cumulée de la COVID-19 dans chacun des pays de l’Union européenne/l’Espace économique européen (UE/EEE) et au Royaume-Uni (R.-U.), et la comparons avec l’évolution qu’a connu la province du Hubei, en Chine.	在这项研究中，我们评估了欧盟/欧洲经济区 (European Union, EU/European Economic Area, EEA) 的各个国家以及英国 (UK) 的 COVID-19 累积发病率的趋势，并将其与中国湖北省进行了比较。
Nous comparons également le nombre actuel de cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni avec celui de l’Italie pour la période du 31 janvier au 15 mars 2020.	我们还对 2020 年 1 月 31 日至 3 月 15 日期间 EU/EEA 国家和英国的现有 COVID-19 病例数与意大利进行了比较。
Cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni	EU/EEA 国家和英国的 COVID-19 病例
Après la Chine, la COVID-19 a continué de se propager, et la dynamique de la pandémie de COVID-19 dans le reste du monde suit actuellement celle de ce pays.	继中国之后，COVID-19 的地理分布进一步扩大，目前世界其他地区 COVID-19 大流行病的动态变化与中国相仿。
Le 11 mars 2020, le directeur général de l’Organisation mondiale de la santé (OMS) déclarait que la COVID-19 constitue une pandémie.	2020 年 3 月 11 日，世界卫生组织 (WHO) 总干事宣布 COVID-19 为大流行病。
Dans l’édition du 5 mars d’Eurosurveillance 2020, Spiteri et al. rapportaient les premiers cas de COVID-19 confirmés en Europe d’après la définition de cas de l’OMS.	在 2020 年 3 月 5 日出版的《欧洲监控》杂志上，Spiteri 等人根据 WHO 的病例定义报告了欧洲首批确诊的 COVID-19 病例。
Au sein de l’UE/l’EEE, les trois premiers cas confirmés ont été rapportés par la France le 24 janvier 2020 chez des personnes revenant de Wuhan, dans la province du Hubei, en Chine.	在 EU/EEA，法国于 2020 年 1 月 24 日报告了最早的三例确诊病例，患者为中国湖北省武汉市归国人员。
Au 15 mars 2020, des cas de COVID-19 avaient été détectés dans chacun des 30 pays de l’UE/l’EEE et au Royaume-Uni (R.-U.) avec, entre le 31 décembre 2019 et cette date, 39 768 cas et 1 727 décès déclarés, dont 17 750 cas et 1 441 décès pour l’Italie uniquement.	截至 2020 年 3 月 15 日，所有 30 个 EU/EEA 国家以及英国都已经检测到 COVID-19 病例，自 2019 年 12 月 31 日至 3 月 15 日，含当日，已经报告了 39,768 名病例和 1,727 例死亡病例，其中仅意大利就报告了 17,750 名病例和 1,441 例死亡病例。
Obtention du nombre cumulé et de l’incidence cumulée de cas de COVID-19	获取 COVID-19 病例的累积数量和累积发病率
Au Centre européen de prévention et de contrôle des maladies (CEPCM), le nombre de cas de COVID-19 signalés dans chaque pays à travers le monde, obtenu uniquement à partir de sources officielles telles que les ministères de la santé, les autorités nationales et régionales de santé des différents pays ainsi que l’OMS, est mis à jour quotidiennement à 08 h 00.	欧洲疾病预防控制中心 (ECDC) 在每天上午 8:00 更新全球每个国家已通报的 COVID-19 病例数，它们仅通过官方来源获取，例如各国的卫生部、国家和地区卫生当局以及 WHO。
Ces données ont été utilisées pour évaluer l’évolution de la COVID-19 au sein de l’UE/l’EEE et au Royaume-Uni, et établir une comparaison avec l’expérience de l’Italie.	这些数据已用于评估 EU/EEA 和英国的 COVID-19 趋势，并与意大利进行比较。
Afin d’évaluer la prévalence des cas actifs de COVID-19, nous avons calculé l’incidence cumulée à 14 jours des cas de COVID-19, prenant ainsi en compte l’évolution naturelle de la COVID-19, au sein de chaque pays de l’UE/l’EEE et au Royaume-Uni, pour la période du 1er janvier au 15 mars 2020.	我们计算了 2020 年 1 月 1 日至 3 月 15 日期间每个 EU/EEA 国家以及英国的 COVID-19 病例的 14 天截缩累积发病率，作为活动性 COVID-19 病例的患病率指标，以便考虑 COVID-19 的自然病程。
Nous avons également comparé le nombre cumulé de cas signalés dans chaque pays au 15 mars 2020 à 8 h 00 avec les données de l’Italie pour la période du 31 janvier au 15 mars 2020.	我们还提供了截至 2020 年 3 月 15 日上午 8:00 每个国家已通报的累积病例总数，并且与 2020 年 1 月 31 日至 3 月 15 日期间意大利的数据进行了比较。
Évolution de la COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni	EU/EEA 国家和英国的 COVID-19 趋势
L’évolution de l’incidence cumulée à 14 jours des cas de COVID-19 au sein des pays de l’UE/l’EEE et au Royaume-Uni a généralement suivi celle de la province du Hubei (Chine) (Figure 1).	EU/EEA 国家和英国的 COVID-19 病例的 14 天截缩累积发病率的趋势总体上与湖北省（中国）的一致（图 1）。
Pour l’UE/l’EEE et le Royaume-Uni, l’incidence cumulée de la COVID-19 a commencé à croître aux alentours du 21 février avant de connaître une augmentation drastique aux alentours du 28 février 2020 (données supplémentaires).	对于 EU/EEA 和英国整体而言，COVID-19 的累积发病率自 2020 年 2 月 21 日左右开始增加，然后在 2 月 28 日左右急剧增加（补充材料）。
Cette évolution a été principalement due à l’augmentation rapide du nombre de cas rapportés en Italie, mais tous les autres pays de l’UE/l’EEE et le Royaume-Uni ont présenté une augmentation similaire de l’incidence cumulée de la COVID-19 (données supplémentaires).	这主要是由于意大利报告的病例数迅速增加所致，但所有其他 EU/EEA 国家以及英国的 COVID-19 累积发病率也呈现出相似的增长趋势（补充材料）。
La Figure 2 présente le nombre cumulé de cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni par rapport aux données de l’Italie pour la période du 31 janvier au 15 mars 2020.	图 2 显示了 2020 年 1 月 31 日至 3 月 15 日期间 EU/EEA 国家以及英国的累积 COVID-19 病例数，并与意大利进行了比较。
On constate que, au 15 mars à 8 h 00, 15 autres pays de l’UE/l’EEE et le Royaume-Uni avaient déjà signalé un nombre total de cas comparable à celui de l’Italie seulement 3 semaines auparavant ou moins.	需要强调的是，截至 3 月 15 日上午 8:00，其他 15 个 EU/EEA 国家以及英国在不到 3 周的时间里就已经报告了与意大利相当的总病例数。
Nos résultats indiquent que le nombre de cas signalés de COVID-19 augmente rapidement au sein de l’UE/l’EEE et au Royaume-Uni.	我们的结果表明，EU/EEA 和英国通报的 COVID-19 病例数量正在迅速增加。
L’évolution de l’incidence cumulée de la COVID-19 suggère que la pandémie progresse à une vitesse comparable dans tous les pays.	观察到的 COVID-19 累积发病率趋势表明，疫情正在所有国家以相似的速度发展。
Et cela en dépit du fait que les pays en soient à des stades différents et qu’il existe des différences dans les réponses des services de santé publique nationaux, de potentielles variations dans les définitions de cas ainsi que des différences dans les protocoles de sélection des patients devant être testés à des fins de confirmation de la COVID-19, y compris pour les tests de rattrapage.	尽管各个国家处于不同阶段，国家公共卫生应对措施各不相同，各个国家对病例的定义可能不同，并且用于选择必须接受 COVID-19 确诊检测——包括追加检测——患者的方案存在差异，但情况均相同。
Début mars 2020, les médecins des régions affectées d’Italie indiquaient qu’environ 10 % des patients atteints de la COVID-19 nécessitaient des soins intensifs, et les médias rapportaient que les hôpitaux et les services de soins intensifs de ces régions avaient déjà atteint leur capacité maximale.	2020 年 3 月上旬，据意大利受影响地区的医生介绍，大约 10% 的 COVID-19 患者需要重症监护，而媒体报道表示这些地区的医院和重症监护病房已经达到最大承载量。
Des données relatives à l’admission des cas de COVID-19 dans les hôpitaux et/ou en service de soins intensifs sont actuellement disponibles à l’échelle de l’UE/l’EEE pour seulement 6 % et 1 % des cas, respectivement (données non présentées).	在 EU/EEA 层面，目前可以获得的数据是住院/或进入重症监护病房的 COVID-19 病例分别仅有 6% 和 1% （数据未显示）。
Il est, cependant, nécessaire de réaliser une collecte systématique afin de compléter les données de surveillance actuelles qui se concentrent sur le nombre de cas signalés et de décès.	但是，这些信息应该以系统方式采集，以便补充重点关注已报告病例数和死亡人数的当前监测数据。
Une étude réalisée en 2010–11 a montré un écart important quant au nombre de lits disponibles dans les services de soins intermédiaires et intensifs en Europe, allant de 29,2 lits pour 100 000 individus en Allemagne à 4,2 lits au Portugal.	2010-11 年进行的一项研究表明，欧洲各国可提供的重症监护和中期照护床位数存在很大差异，每 10 万人拥有的床位数范围从德国的 29.2 张到葡萄牙的 4.2 张不等。
Cela signifie que les pays disposent plus ou moins de ressources que l’Italie (12,5 lits en soins intensifs et intermédiaires pour 100 000 individus en 2010–11).	这意味着各国拥有的资源可能多于或少于意大利（2010-2011 年每 10 万人拥有 12.5 张重症监护和中期照护床位）。
Des scénarios de modélisation relatifs à la saturation de la capacité de soins, avec des estimations pour chaque pays de l’UE/l’EEE et le Royaume-Uni de la prévalence de cas de COVID-19 hospitalisés associés à un risque &amp; gt; 90 % de dépassement de la capacité en lits en soins intensifs, sont fournis dans la sixième mise à jour de l’évaluation rapide des risques du CEPCM relative à la COVID-19.	ECDC 对 COVID-19 快速风险评估的第六次更新对医疗保健能力饱和相关场景进行了建模，并对每个 EU/EEA 国家以及英国的住院 COVID-19 患者的患病率与超过重症监护床位量的风险 &amp; gt; 90% 之间的关系进行了估计。
Étant donné que les cas étaient jusqu’alors regroupés dans certaines régions des pays de l’UE/l’EEE et du Royaume-Uni, et que les hôpitaux et les services de soins intensifs accueillent généralement une population régionale définie, les données sur les cas et les lits en soins intensifs devraient, de préférence, être établies au niveau 2 de la Nomenclature des unités territoriales statistiques (NUTS 2).	由于迄今为止病例聚集在 EU/EEA 国家以及 UK 的某些区域，并且医院和重症监护病房通常为确定区域的覆盖人口提供服务，因此最好在“标准统计地域单元 2” (NUTS-2) 层面提供有关病例和重症监护床位的信息。
L’expérience de l’Italie et l’évolution actuelle dans les autres pays montrent que la pandémie de COVID-19 progresse rapidement au sein de l’UE/l’EEE et au Royaume-Uni.	意大利的经验以及其他国家的当前趋势表明，EU/EEA 以及英国的 COVID-19 大流行病正在迅速发展。
Les pays, les hôpitaux et les services de soins intensifs doivent donc se préparer à un scénario de transmission communautaire soutenue du SARS-CoV-2 ainsi qu’à une augmentation du nombre de patients atteints de la COVID-19 nécessitant des soins, et en particulier des soins intensifs, comme dans les régions affectées d’Italie.	因此，国家、医院和重症监护病房都应做好准备，以应对 SARS-CoV-2 持续社区传播以及需要医疗保健，尤其是重症监护的 COVID-19 患者人数增加的情况，例如意大利受影响地区出现的情况。
Comme souligné par la récente évaluation rapide des risques du CEPCM, une approche rapide, proactive et exhaustive est essentielle pour retarder la propagation du SARS-COV-2, en passant d’une approche d’endiguement à une approche d’atténuation, dans la mesure où l’augmentation rapide et précoce du nombre de cas pourrait ne pas laisser suffisamment de temps aux décideurs et aux hôpitaux pour comprendre, accepter et adapter leur réponse en conséquence, si rien n’avait été mis en œuvre en amont.	正如最近的 ECDC 快速风险评估指出，快速、积极和全面的方法对于延缓 SARS-COV-2 的传播至关重要，需要从遏制过渡至缓解方法，因为如果不提前实施，预期病例数的快速增长可能让决策者和医院没有足够的时间来理解、接受和调整应对措施。
L’évaluation rapide des risques répertorie également les mesures de santé publique permettant d’atténuer l’impact de la pandémie.	快速风险评估还列出了缓解大流行病影响的公共卫生措施。
Il existe une brève fenêtre pendant laquelle chaque pays pourra renforcer ses efforts de contrôle afin de ralentir la propagation du SARS-CoV-2 et de réduire la pression sur les services de santé.	目前存在一个短暂的机会窗口，各国有可能借此进一步加大控制力度，以减缓 SARS-CoV-2 的传播速度并减轻对健康护理系统的压力。
Sans quoi, il est probable que les systèmes de santé des autres pays de l’UE/l’EEE devront faire face à un pic de patients nécessitant des soins intensifs dans les jours ou les semaines à venir.	否则，其他 EU/EEA 国家的医疗保健系统很可能在今后几天或几周内面临需要重症监护患者的激增。
L’épidémie de la maladie à coronavirus 2019 (COVID-19), causée par le coronavirus 2 du syndrome respiratoire aigu sévère (SRAS) (SARS-CoV-2), a jusqu’alors entraîné plus de 3 000 décès et infecté plus de 80 000 personnes en Chine et ailleurs dans le monde, provoquant une catastrophe humanitaire.	由严重急性呼吸系统综合征 (SARS) 冠状病毒 2 (SARS-CoV-2) 引起的 2019 冠状病毒疾病 (COVID-19) 爆发迄今已在中国及世界其他地区感染 80,000 多人，导致 3,000 多人死亡，造成巨大的人类灾难。
Comme son homologue, le SARS-CoV, qui entraîna des milliers de cas de SRAS en 2003, le SARS-CoV-2 pourrait être transmis par les chauves-souris et provoque des symptômes similaires par le biais d’un mécanisme similaire.	与其同源病毒 SARS-CoV——在 2003 年导致成千上万人感染 SARS——相似，SARS-CoV-2 也可能由蝙蝠传播，并通过相仿的机制引起类似的症状。
Toutefois, la COVID-19 présente une sévérité et une mortalité moindres que le SRAS, mais elle est bien plus transmissive, et elle affecte davantage les personnes âgées que les jeunes et davantage les hommes que les femmes.	虽然 COVID-19 的严重性和死亡率低于 SARS，但其传播性更强，受影响的老年人多于年轻人，男性多于女性。
En réponse à l’augmentation rapide du nombre de publications sur cette maladie émergente, cet article s’efforce de fournir un examen opportun et exhaustif de ce sujet de recherche en plein essor.	鉴于新冠肺炎相关出版物迅速增加，本文欲对这个迅速发展的研究课题进行一次及时而全面的综述。
Nous aborderons les fondamentaux de l’épidémiologie, de l’étiologie, de la virologie, du diagnostic, du traitement, du pronostic et de la prévention de la maladie.	我们将介绍有关该病的流行病学、病因学、病毒学、诊断、治疗、预后和预防的基本知识。
Bien que nombre de questions attendent encore des réponses, nous espérons que cet examen participera à mieux appréhender et à éradiquer cette grave maladie.	虽然许多问题仍待解答，但我们希望本综述有助于理解和根除这种可怕的疾病。
Le Festival du printemps, le 25 janvier 2020, a marqué à tout jamais les Chinois, qui se sont vus contraints de rester cloîtrés pour toute la durée de la semaine d’or ainsi que pour de longues autres semaines en raison de la propagation d’une nouvelle maladie virale.	2020 年 1 月 25 日的春节成为中国人前所未有而刻骨铭心的记忆，一种新型病毒性疾病的爆发迫使所有人在整个假期以及随后的多个星期足不出户。
Le virus est hautement homologue au coronavirus (CoV) qui causa une épidémie de syndrome respiratoire aigu sévère (SRAS) en 2003 ; c’est pourquoi il a été baptisé SARS-CoV-2 par l’Organisation mondiale de la santé (OMS) le 11 février 2020, et la maladie associée dénommée maladie à coronavirus 19 (COVID-19).	这种病毒与 2003 年引起严重急性呼吸综合征 (SARS) 爆发的冠状病毒 (CoV) 具有高度同源性；因此，世界卫生组织 (WHO) 于 2020 年 2 月 11 日将其命名为 SARS-CoV-2，相关疾病被称为冠状病毒疾病-19 (COVID-19)。
L’épidémie a débuté à Wuhan et s’est rapidement propagée à toute la Chine avant de s’étendre à près de 50 autres pays à travers le monde.	这场疫情始于中国武汉并迅速扩散到全国各地，然后蔓延到全球其他近 50 个国家。
Au 2 mars 2020, le virus avait entraîné plus de 80 000 cas confirmés de COVID-19, avec plus de 40 000 patients ayant été hospitalisés et plus de 3 000 décès.	截至 2020 年 3 月 2 日，该病毒已导致超过 80,000 名 COVID-19 确诊病例，其中 40,000 多名患者已出院，超过 3,000 名患者死亡。
Pour l’OMS, la COVID-19 est « l’ennemie publique numéro 1 », potentiellement plus dangereuse que le terrorisme.	WHO 警告 COVID-19 已成为“头号公敌”，其威胁可能超过恐怖主义。
Selon PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), en moins de deux mois, plus de 200 travaux ont été publiés sur la COVID-19, notamment dans les domaines de la virologie, de l’épidémiologie, de l’étiologie, du diagnostic et du traitement, depuis le premier rapport le 7 janvier 2020 présentant la séquence du virus, isolée à partir de plusieurs patients.	根据 PubMed (https://www.ncbi.nlm.nih.gov/pubmed/) 的数据，自 2020 年 1 月 7 日首次报告从多名患者体内分离出病毒序列以来，不到两个月的时间内已有 200 多篇有关 COVID-19 的论文发表，内容涉及病毒学、流行病学、病因学、诊断和治疗。
Cet examen tente de synthétiser les progrès de la recherche sur ce nouveau sujet en plein essor.	本文旨在总结这一新兴学科领域的研究进展。
Dès que possible, nous tenterons de comparer la COVID-19 avec le SRAS et une autre maladie à coronavirus, le syndrome respiratoire du Moyen-Orient (MERS, une épidémie ayant eu lieu en 2012).	人们习惯将 COVID-19 与 SARS 以及另一种由 CoV 引起的疾病——中东呼吸综合征（MERS，2012 年爆发）进行比较。
Nous ferons également le point sur ce que nous avons appris jusqu’ici en termes de prévention et de pronostic de la maladie, et aborderons certaines questions encore en suspens mais pourtant urgentes.	我们还将讨论迄今为止关于该疾病预防和预后所学到的知识，以及一些尚待解决的紧迫问题。
Les coronavirus sont traditionnellement considérés comme des pathogènes non mortels pour l’Homme, causant principalement 15 % environ des rhumes communs 4.	过去一直认为 CoV 是人类的非致命性病原体，主要引起约 15% 的普通感冒4。
Cependant, au cours de ce siècle, nous avons connu deux coronavirus hautement pathogènes pour l’Homme, à savoir le SARS-CoV et le MERS-CoV, qui ont provoqué une épidémie ayant débuté en Chine en 2003 et en Arabie Saoudite en 2012, respectivement, avant de se propager rapidement à de nombreux autres pays avec une morbidité et une mortalité élevées.	但本世纪已经遇到了两次高致病性的人类 CoV，即 SARS-CoV 和 MERS-CoV，分别于 2003 年和 2012 年在中国和沙特阿拉伯爆发，很快扩散到许多其他国家，具有可怕的患病率和死亡率。
La COVID-19 actuelle constitue donc la troisième épidémie de coronavirus de l’Histoire récente.	因此，此次 COVID-19 疫情是人类历史上记录的第三次 CoV 爆发。
Comme présenté en ​Fig. ​Fig.1,1, des foyers de pneumonie alors d’origine inconnue ont d’abord été rapportés à Wuhan le 31 décembre 2019 auprès de la Commission nationale chinoise de la santé.	如图 1,1 所示，武汉市于 2019 年 12 月 31 日首先向中国国家卫生健康委员会报告了多名不明原因的肺炎病例。
Sept jours plus tard, la séquence du coronavirus était dévoilée.	七天后，CoV 序列被公布。
Le 15 janvier 2020, le premier cas fatal était rapporté à Wuhan.	2020 年 1 月 15 日，武汉报道了首例死亡病例。
Entre-temps, l’épidémie s’était rapidement propagée aux villes, provinces et pays voisins.	与此同时，疫情迅速扩散到邻近的城市、省份和国家。
Le 20 janvier, il était rapporté que des professionnels de santé avaient été infectés, suggérant que la transmission interhumaine était possible.	1 月 20 日，报告医护人员感染，提示可能存在人传人现象。
Le 23 janvier, la ville de Wuhan était placée en quarantaine avec interruption de l’ensemble de ses transports publics.	1 月 23 日，武汉市封城并关闭所有公共交通。
Le 24 janvier, la première étude clinique sur la maladie indiquait que, sur 41 cas confirmés, seuls 21 patients avaient été en contact direct avec le marché de fruits de mer de Wuhan, considéré comme le point de départ de l’infection avec une source animale inconnue.	1 月 24 日，针对新冠肺炎的第一项临床研究报告，在 41 名确诊病例中，只有 21 名与武汉华南海鲜市场有过直接接触，该市场被认为是不明动物来源感染的起点。
Le 30 janvier, l’OMS qualifiait l’épidémie d’urgence sanitaire mondiale.	1 月 30 日，WHO 宣布此次爆发为“全球卫生紧急事件”。
Au moment de la rédaction de ce rapport, la maladie s’était déjà propagée à toute la Chine ainsi qu’à près de 50 autres pays à travers le monde (Fig. ​(Fig.2).2).	截至本报告发布之时，该疾病已经扩散至中国全境及全球其他近 50 个国家（图 2 ​(Fig.2)）。
Dans la mesure où la situation évolue rapidement, la portée finale et la sévérité de l’épidémie restent à déterminer.	由于疫情迅速发展，此次爆发的最终范围和严重程度尚待确定。
Le 11 février 2020, une étude multicentrique menée sur 8 866 patients, dont 4 021 cas confirmés de COVID-19, présentait une vue d’ensemble actualisée de l’épidémie comme suit (https://mp.weixin.qq.com/s/UlBi-HX_rHPXa1qHA2bhdA).	2020 年 2 月 11 日，一项针对 8,866 名患者的多中心研究（包括 4,021 名确诊的 COVID-19 患者）提供了这种流行病的更新说明，如下所示 (https://mp.weixin.qq.com/s/UlBi-HX_rHPXa1qHA2bhdA)。
Le SARS-CoV-2 infectait des personnes de tout âge, mais plus majoritairement dans la tranche des 30-65 ans.	SARS-CoV-2 能够感染所有年龄段人群，但主要年龄段为 30-65 岁。
Près de la moitié (47,7 %) des personnes infectées étaient âgées de plus de 50 ans, très peu avaient moins de 20 ans, et seulement 14 étaient âgées de moins de 10 ans.	几乎一半 (47.7%) 的感染者年龄在 50 岁以上，极少数在 20 岁以下，只有 14 名感染者不满 10 岁。
Le SARS-CoV-2 infectait davantage les hommes (0,31/100 000) que les femmes (0,27/100 000).	SARS-CoV-2 感染的男性（0.31/10 万）多于女性（0.27/10 万）。
La COVID-19 se développait en foyers, principalement dans la province du Hubei et en périphérie.	COVID-19 主要在湖北及周边地区聚集性传播。
La durée moyenne entre l’apparition des symptômes et le diagnostic de la COVID-19 était de 5 jours (2-9).	COVID-19 从发病到诊断平均需要 5 (2-9) 天时间。
La période d’incubation moyenne était de 4,8 jours (3,0-7,2).	平均潜伏期为 4.8 (3.0-7.2) 天。
La durée moyenne entre l’apparition des symptômes et le décès était de 9,5 jours (4,8-13).	从发病到死亡的平均时间为 9.5 (4.8-13) 天。
