fr	zh
Une porte-parole des Centres pour le contrôle et la prévention des maladies des États-Unis (CDC) a reconnu « Nous savons que [le nombre de décès annoncé] est sous-estimé », une déclaration confirmée par des rapports anecdotiques de la sous-évaluation aux États-Unis. Une telle sous-estimation se produit souvent lors des pandémies, comme l’épidémie de grippe porcine H1N1 de 2009. Le premier décès confirmé a eu lieu à Wuhan le 9 janvier 2020.	美国疾控中心 (CDC) 一名女发言人坦言：“我们知道[公布的死亡人数]低于实际数值”，而关于美国数据被低估的传闻也印证了这一言论。低估在流行病领域经常发生，如 2009 年 H1N1 猪流感疫情。2020 年 1 月 9 日，武汉出现中国首例确诊死亡病例。
Dans ce qui a été décrit comme « la plus grande mise en quarantaine de l’histoire humaine », un cordon sanitaire a été annoncé le 23 janvier pour arrêter les voyages depuis et à destination de Wuhan, qui a été étendu à 15 villes à Hubei, touchant environ 57 millions de personnes au total.	1 月 23 日政府宣布在武汉拉起一道防疫线，禁止人员出入武汉，这条防疫线后来又延伸至湖北其他 15 个城市，总计约 5,700 万人受影响，堪称“人类史上最大规模的隔离事件”。
Plusieurs scientifiques ont tenté de calculer ces chiffres pour des populations spécifiques.	很多学者尝试针对特定人群计算上述数据。
L’origine du premier cas confirmé de COVID-19 a été datée au 1er décembre 2019 à Wuhan ; un rapport non confirmé suggère que le tout premier cas remonterait au 17 novembre.	第一例 COVID-19 确诊病例已追溯到 2019 年 12 月 1 日，位于武汉；一份未经证实的报告推测最早病例可追溯到 11 月 17 日。
Plusieurs pays ont commencé à encourager leur population à utiliser des masques.	一些国家和地区已经开始鼓励普通大众戴口罩。
Selon son communiqué de presse, la NBA « suspend les matchs suite à la conclusion du calendrier des matchs [de mercredi] jusqu’à nouvel ordre. »	根据其新闻稿，NBA“会在[星期﻿ 安排的比赛结束之后暂停比赛，直到另行通知。”
Plusieurs administrateurs provinciaux du Parti communiste chinois (PCC) ont été relevés de leurs fonctions suite à leur gestion de la quarantaine en Chine centrale, signe du mécontentement vis-à-vis de la réponse des responsables politiques face à l’épidémie dans ces régions.	数名中共 (CPC) 省级行政官员因对华中地区防疫工作处理不当而被免职，反映了中央对当地政治机构的疫情应对措施不满。
Des mesures de travail à distance ont été instituées dans plusieurs régions chinoises.	中国多地实行了远程居家办公措施。
Ces résultats ont été obtenus grâce à une combinaison de la capacité de mener des drive-tests et l’achat d’un laboratoire à haut débit à l’échelle de la population auprès de Group 42 et BGI (fondé sur leurs laboratoires de détection d’urgence « Huo-Yan » en Chine).	实现这一检测能力的方法在于，一方面使用免下车 (drive-through) 检测，另一方面向 Group 42 和华大基因（基于其在中国的“火眼”紧急检测实验室）出资建立应对大规模人群检测需求的高通量实验室。
La société sud-coréenne était au départ divisée à propos de la réponse à la crise du président Moon Jae-in.	韩国社会最初对总统文在寅的危机应对措施表现出两极分化的态度。
La maladie est supposée se transmettre principalement lors d’un contact rapproché et par de fines gouttelettes produites en toussant, éternuant, ou parlant ; ce contact rapproché correspondant à un rayon de 1 à 2 mètres (3 à 6 pieds).	目前认为该病主要通过近距离接触以及咳嗽、打喷嚏或说话时产生的飞沫传播；近距离接触是指间隔 1-2 米（3-6 英尺）内。
À la différence des méthodes PCR, aucune étape d’extraction n’est requise avant l’analyse.Le 26 mars 2020, la FDA a nommé 29 entités ayant dûment informé l’agence et qui, par conséquent, peuvent à présent distribuer leurs tests de dépistage des anticorps.	测定前不需要执行提取步骤，这一点不同于 PCR 方法。2020 年 3 月 26 日，FDA 批准了 29 个实体申报的检测方法，这些实体现在能够分发其抗体检测试剂盒。
D’après l’Université Johns Hopkins, en date de mercredi, il y avait au moins 1 279 cas confirmés de COVID-19 aux États-Unis.	据约翰-霍普金斯大学透露，截止到星期三，美国至少已有1279例COVID-19确诊病例。
L’OMS a déclaré que certains « remèdes traditionnels et artisanaux » peuvent adoucir les symptômes causés par le SARS-CoV-19.	世界卫生组织还指出，一些“传统和家庭疗法”可以缓解由 SARS-CoV-19 引起的症状。
Les citoyens brésiliens s’étant rendus à Wuhan ont été mis en quarantaine sur une base militaire proche de Brasília.	到过武汉的巴西公民被送到巴西利亚附近的一个军事基地接受隔离。
bien, je ressens une douleur à l’avant de mon corps, ici dans ma poitrine	我的前胸感到疼痛
Selon le Dr Tom Frieden, ancien directeur des Centres pour le contrôle et la prévention des maladies des États-Unis, la pandémie est « sans précédent ».	据美国疾病控制与预防中心前主任Tom Frieden博士所说，这次大流行是“空前的”。
bien, quand j’ai cette douleur dans la poitrine	当我的胸部感到疼痛时
Elles sont particulièrement adaptées aux situations dans lesquelles les fonctions de vraisemblance sont absentes et des approches plus traditionnelles telles que les méthodes de Monte-Carlo par chaînes de Markov sont irréalisables.	它们特别适合于缺少似然函数且不适合使用诸如马尔可夫链蒙特卡洛等更传统方法的情况。
Certains hauts responsables chinois, par ex. Zhao Lijian, ont rejeté l’idée première selon laquelle l’épidémie de coronavirus aurait débuté à Wuhan en faveur des théories conspirationnistes soutenant que la COVID-19 tiendrait ses origines des États-Unis ou de l’Italie.	一些中国官员（如赵立坚）否认此前承认的 COVID-19 爆发始于武汉的言论，并支持关于新型冠状病毒肺炎源自美国或意大利的阴谋论。
Cependant, le coronavirus peut inhiber les fonctions des cellules T en induisant leur apoptose.	但是，CoV 可以通过诱导 T 细胞凋亡来抑制 T 细胞功能。
Des données partielles provenant d’Italie révèlent que les chiffres de la surmortalité durant la pandémie sont 4-5 fois supérieurs au décompte officiel des morts de la COVID.	来自意大利的部分数据显示，疫情期间的实际死亡人数是官方统计的新冠病毒肺炎死亡人数的 4-5 倍。
Le président de la Lombardie, Attilio Fontana, et le ministre italien des Affaires étrangères Luigi Di Maio ont démenti les rapports médiatiques et ont exprimé leur gratitude.	伦巴第区长 Attilio Fontana 和意大利外交部长 Luigi Di Maio 驳回了媒体的报道，并表达了自己的谢意。
Il semblerait que le SARS-CoV-2 soit sensible aux rayons ultraviolets ainsi qu’à une température de 56 °C pendant 30 minutes ; l’éther, l’éthanol à 75 %, les désinfectants à base de chlore, l’acide peracétique, le chloroforme ainsi que d’autres solvants gras, mais pas la chlorhexidine, peuvent efficacement inactiver le virus.	据报道，SARS-CoV-2 对紫外线以及热敏感——56 °C 30 分钟；乙醚、75% 乙醇、含氯消毒剂、过氧乙酸、氯仿和其他脂溶剂均可有效灭活病毒，但氯已定不能有效灭活病毒。
Ils peuvent être classés en quatre genres, à savoir alpha, bêta, gamma et delta, les coronavirus connus pour infecter l’Homme appartenant aux genres alpha et bêta.	它们可分为四个属，即 α、β、γ 和 δ，其中 α-CoV 和 β-CoV 已知会感染人类。
Ma a également fait don de matériel médical au Canada. Les Pays-Bas, l’Espagne, la Turquie, la Géorgie et la République tchèque ont exprimé leurs préoccupations concernant les masques et les kits de dépistage fabriqués en Chine.	除此之外，马云还向加拿大捐赠了医疗物资。荷兰、西班牙、土耳其、格鲁吉亚和捷克共和国对中国制造的口罩和试剂盒表示担忧。
Nous aborderons les fondamentaux de l’épidémiologie, de l’étiologie, de la virologie, du diagnostic, du traitement, du pronostic et de la prévention de la maladie.	我们将介绍有关该病的流行病学、病因学、病毒学、诊断、治疗、预后和预防的基本知识。
Ghebreyesus a exprimé un avis similaire, déclarant que « nous n’avons jamais été témoins d’une pandémie provoquée par un coronavirus. »	Ghebreyesus表达了类似的观点，并且说“我们以前从未见过冠状病毒引发的大流行。”
Le lavage des mains, également appelé hygiène des mains, correspond au fait de se nettoyer les mains afin d’en retirer les saletés, la graisse, les microorganismes ou d’autres substances indésirables.	洗手，也称为手部清洁，是为了清除手上的尘土、油脂、微生物或其他无用物质而清洁手部的行为。
et vous savez que des gens me toussent dessus tout le temps	人们一直在冲我咳嗽
L’infection au SARS-CoV-2, caractérisée par une apparition en foyers, est davantage susceptible d’affecter les personnes âgées avec comorbidités et les femmes enceintes.	以聚集性发病为特征的 SARS-CoV-2 感染更有可能影响存在多种合并症的老年人以及孕妇。
La proclamation a expressément stipulé que « l’épidémie de COVID-19 aux États-Unis constitue une urgence nationale » et a déclaré que l’urgence nationale avait débuté le 1er mars, près de deux semaines avant la proclamation elle-même.	公告特别指出“美国爆发COVID-19导致了国家紧急状态”，并表示国家紧急状态已于3月1日开始，比公告本身早两周。
La suppression peut être privilégiée, mais doit être poursuivie aussi longtemps que le virus circule dans la population humaine (ou jusqu’à ce qu’un vaccin soit disponible, si cela arrive en premier), car dans le cas contraire, la transmission rebondit rapidement lors du relâchement des mesures.	抑制可能为首选措施，但需要维持到病毒在人群中停止传播（或直至疫苗推出，以先到者为准），否则一旦放松措施，传播便会迅速反弹。
Il est également suggéré que les sanctions des États-Unis peuvent nuire à la capacité financière du pays de répondre à l’épidémie.	还有观点认为，美国对伊朗的制裁可能会影响该国在应对疫情方面的财力。
Le groupe d’experts a indiqué que tout le monde était en droit de bénéficier d’interventions de secours et que cette responsabilité incombait au gouvernement.	专家组指出，每个人都有权享受生命拯救干预措施，而政府应承担起这项责任。
On constate des anomalies de radiographie thoracique chez la plupart des patients atteints de la COVID-19, caractérisées par des ombres inégales bilatérales ou une opacité en verre dépoli au niveau des poumons.	大多数 COVID-19 患者可见胸部影像学异常，其特征为双侧斑片状阴影或肺部磨玻璃影。
Singapour a fourni un soutien financier aux personnes infectées qui se sont mises en quarantaine, et a infligé de lourdes amendes à celles qui ne l’ont pas fait.	新加坡为自我隔离感染者提供财政支持，对拒绝自我隔离的感染者处以巨额罚款。
La suppression nécessite des mesures plus extrêmes, afin d’infléchir la pandémie en réduisant le nombre de reproduction de base à moins de 1. Une partie de la gestion d’une épidémie de maladie infectieuse consiste à essayer d’atténuer le pic épidémique : c’est ce qu’on appelle aplatir la courbe épidémique.	抑制则需要采取更极端的防控措施，通过将基本再生数减少到 1 以下来扭转大流行局面。控制传染病爆发的部分工作是要努力降低疫情峰值，也就是我们所知的拉平流行病学曲线。
Enfin, la détection précoce d’un cas confirmé de COVID-19 a illustré la mise en œuvre rapide de cette surveillance améliorée au sein du réseau national.	最后，一名确诊 COVID-19 病例的早期检测已经证明在全国性网络中快速实施这种增强监测方案的价值。
Le gouvernement chinois a encouragé les entreprises et les usines à rouvrir le 30 mars, et a accordé des plans de relance monétaire aux entreprises. Le Conseil des affaires de l’État a annoncé une journée de deuil devant commencer avec trois minutes de silence le 4 avril à 10 h 00, ce qui coïncide avec la fête de Qingming, bien que le gouvernement central ait demandé aux familles de rendre hommage en ligne pour respecter la distanciation physique et éviter un renouvellement de l’épidémie de COVID-19.	中国政府鼓励企业和工厂于 3 月 30 日复工，并为企业提供了货币刺激计划。国务院宣布将 4 月 4 日定为全国哀悼日，并于当日 10:00 点启动三分钟的全国默哀活动。这一天恰逢清明节，中央政府提倡各家庭通过网络共同悼念逝去的亲人，以保持物理距离，避免 COVID-19 疫情的二次爆发。
Les magasins en Australie réduisent les quantités limites de papier toilette par achat	澳大利亚的商店降低了每次交易的卫生纸数量上限
Ils ont en revanche déclaré qu’il n’était pas présent au Chesapeake Energy Arena d’Oklahoma City, où les Utah Jazz devaient jouer contre les Oklahoma City Thunder.	NBA表示这名球员并没有出现在俄克拉荷马城的切萨皮克能源球馆，原本犹他爵士队将在这里对阵俄克拉荷马城雷霆队。
Maladie infectieuse émergente – Maladie infectieuse issue d’un agent pathogène émergent, souvent nouveau en matière d’amplitude épidémique ou de mode de transmission	新出现的传染病——由新出现的病原体引发的传染病，其爆发范围或传播方式通常也与以往不同
Manifestations cliniques : (1) fièvre et/ou symptômes respiratoires ; (2) imagerie présentant les caractéristiques d’une infection au COVID-19 ; (3) numération totale des globules blancs indiquant une numération normale, diminuée ou réduite des lymphocytes dès le début des symptômes.	临床表现：(1) 发热和/或呼吸道症状；(2) 具有 COVID-19 感染的影像学特征；(3) 发病早期白细胞总数正常或减少，淋巴细胞计数减少。
et avec vos antécédents de diabète	有糖尿病史
Des conclusions similaires ont été rapportées par deux études récentes menées sur une famille et sur un foyer apparu suite à la transmission du virus à partir d’un individu asymptomatique.	最近两项关于家庭聚集性发病以及无症状个体传播导致聚集发病的研究报道了类似的结果。
et toutes les douleurs thoraciques doivent être traitées de cette manière, en particulier à votre âge	各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素
en plein milieu de la poitrine	在我的右胸口
En particulier, son taux de propagation, à la fois temporelle et géographique.	具体而言，是疫情扩散速度，包括时间和地域方面。
Les évaluations chinoises du ratio d’asymptomatiques varie de quelques-uns à 44 %.	中国估计无症状感染者的比率从极低到 44% 不等。
D’autres traitements immunosuppresseurs pour les chocs cytokiniques incluent la modulation de la réponse immunitaire par les cellules T, le blocage des cytokines IFN-γ, IL-1 et TNF, l’inhibition des JAK, le blinatumomab, le suppresseur de signalement des cytokines 4 et les inhibiteurs d’HDAC.	其他针对细胞因子风暴的免疫抑制疗法包括：调节 T 细胞定向免疫应答；阻断 IFN-γ、IL-1 和 TNF；抑制 JAK；博纳吐单抗；细胞因子信号转导抑制剂 4；以及 HDAC 抑制剂。
Le Centre européen de prévention et de contrôle des maladies (ECDC) déclare que si on ne sait pas encore exactement avec quelle facilité la maladie se répand, une personne en contamine généralement deux à trois autres. Le virus survit des heures voire des jours sur les surfaces.	欧洲疾控中心 (ECDC) 表示，虽然新冠病毒的传播力尚不完全明确，但一般 1 人会传染 2-3 人。该病毒在物体表面的存活时间从几小时到几天不等。
Par la suite, le virus peut disparaître de la gorge tandis qu’il poursuit sa multiplication dans les poumons.	之后，病毒在咽喉中消失，但在肺部继续繁殖。
Il indiquait que tout restait encore à découvrir sur la COVID-19 et que l’Australie accentuerait son contrôle frontalier et sa communication dans sa réponse face à la pandémie.	报道指出人们对 COVID-19 的了解还不够深入，澳大利亚在应对这一流行病方面将重点关注边境管控和沟通。
Au 23 mars, aucun pays n’avait testé plus de 3 % de sa population, et il existait des différences importantes quant au nombre de tests effectués dans chaque pays.	截至 3 月 23 日，没有一个国家/地区的检测人数超过其人口的 3%，各个国家/地区完成的检测量差异巨大。
Cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni	EU/EEA 国家和英国的 COVID-19 病例
La FDA a approuvé un test qui utilise la technologie d’amplification isotherme des acides nucléiques au lieu de la PCR.	FDA 已批准了一项使用核酸等温扩增技术代替 PCR 的检测方法。
L’ampleur de l’exercice militaire « Defender 2020 » de l’OTAN prévu en Allemagne, en Pologne et dans les pays baltes, la plus grande manœuvre de l’OTAN depuis la fin de la guerre froide, sera réduite.	计划在德国、波兰和波罗的海举行的北约“捍卫者 2020”军事演习是冷战结束以来规模最大的北约军事演习，演习时规模将有所缩小。
Cela, toutefois, dépend de l’humidité et de la température. Des animaux domestiques et d’autres animaux ont été testés positifs à la COVID-19.	不过，其存活时间也受湿度和温度的影响。目前已出现宠物和其他动物 COVID-19 检测呈阳性的病例。
Par conséquent, nous ne pouvons nous référer qu’aux études précédemment réalisées sur d’autres coronavirus, notamment sur le SARS-CoV et le MERS-CoV (Fig. ​(Fig.4).4).	因此，我们只能参考以前关于其他 CoV 的研究，特别是 SARS-CoV 和 MERS-CoV（图 (Fig.4).4）。
En janvier et en février 2020, pendant le pic de l’épidémie à Wuhan, environ 5 millions de personnes en Chine ont perdu leur emploi.	2020 年 1 月和 2 月，在武汉疫情高峰期，中国大约有 500 万人失业。
Les patients présentant de la fièvre et/ou des symptômes respiratoires ainsi que ceux présentant une fièvre aiguë, même en l’absence d’anomalies de radiographie thoracique, doivent être testés pour le virus afin de permettre un diagnostic précoce.	即使没有肺部影像学异常，有发热和/或呼吸道症状和急性发热的患者也应进行病毒筛查以便进行早期诊断。
Les experts ont souligné que chaque individu avait le droit à la santé, y compris les personnes en situation de handicap, appartenant à des minorités, les personnes âgées, les déplacés internes, les sans-abri, ceux vivant dans une extrême pauvreté, les détenus, ainsi que les réfugiés et les autres groupes non spécifiés ayant besoin de soutien du gouvernement.	专家强调，每个人都享有健康权，包括残疾人、未成年人、老年人、境内流离失所者、无家可归者、生活条件极其恶劣的群体、被拘留者以及需要政府支持的难民和其他未指明群体。
Le 19 mars 2020, la FDA a accordé une autorisation d’utilisation d’urgence (EUA) à Abbott Laboratories pour un test sur le système m2000 d’Abbott. La FDA avait préalablement concédé une autorisation similaire à Hologic, LabCorp et Thermo Fisher Scientific.	2020 年 3 月 19 日，FDA 向雅培 (Abbott Laboratories) 发放了采用 Abbott 的 m2000 系统进行检测的紧急使用授权 (EUA)；FDA 此前曾向 Hologic、LabCorp 和 Thermo Fisher Scientific 发放了类似授权。
Néanmoins, il se peut que le virus finisse par se propager plus largement au sein de la population, comme en Italie.	但是，就像在意大利发生过的那样，可能会达到一个病毒更广泛传播到人群中的时间点。
Diverses applications mobiles ont été lancées ou proposées sur la base du volontariat, et à compter du 7 avril 2020, plus d’une douzaine de groupes d’experts travaillaient sur des solutions respectueuses de la vie privée, comme l’utilisation du Bluetooth pour enregistrer la présence d’un utilisateur à proximité d’autres téléphones portables.	目前有各种移动应用已投入使用或进入提案，供人们自愿使用，截至 2020 年 4 月 7 日，共有十多个专家组正致力于研究具备隐私保护功能的解决方案，如使用蓝牙记录用户与其他手机之间的距离。
je vous enverrai une image sur votre écran	我会发一张图像到您的屏幕
Le même jour, le président Trump a signé le Coronavirus Preparedness and Response Supplemental Appropriations Act, qui prévoit un fonds d’urgence de 8,3 milliards de dollars pour aider les agences fédérales à faire face à l’épidémie.	同一天，特朗普总统签署了《冠状病毒预防和应对补充拨款法案》，为联邦机构应对疫情提供了 83 亿美元的紧急资金。
Une étude antérieure a rapporté que le R0 du SARS-CoV-2 atteignait 6,47 avec un intervalle de confiance (IC) à 95 % de 5,71-7,23, tandis que le R0 du SARS-CoV n’allait que de 2 à 4.	一项早期研究报道，SARS-CoV-2 的 R0 高达 6.47，95% 置信区间 (CI) 为 5.71-7.23，而 SARS-CoV 的 R0 仅为 2 至 4。
Si les pays dépistent, testent, traitent, isolent, localisent et mobilisent leurs populations dans le cadre de la réponse », a déclaré Tedros Adhanom Ghebreyesus, le directeur général de l’OMS.	如果各个国家/地区对其人民进行检测、测试、治疗、隔离、追踪和动员作为应对措施，”WHO总干事Tedros Adhanom Ghebreyesus说道。
La Société italienne de Radiologie constitue actuellement une base de données en ligne internationale de résultats d’imagerie de cas confirmés.	意大利放射学会正在针对确诊病例的影像表现汇编国际在线数据库。
OK avez-vous d’autres symptômes en plus ou seulement cette douleur dans la poitrine	好的，除了疼痛，您还有任何其他症状吗？
Hong Kong a mis en place un plan dans le cadre duquel les cas suspects peuvent rester chez eux, « le service des urgences fournira au patient un tube à échantillon », les patients crachent à l’intérieur, le renvoient et reçoivent plus tard le résultat du test.La NHS britannique a annoncé qu’elle mène un projet pilote visant à tester les cas suspects à domicile, ce qui élimine le risque qu’un patient n’en infecte d’autres en se rendant dans un hôpital ou le besoin de désinfecter une ambulance en cas d’utilisation.Dans le cadre du drive-test du COVID-19 pour les cas suspects, un professionnel de santé prélève un échantillon en prenant les précautions appropriées.	香港建立了一套疑似患者可以居家的机制，“急诊室给患者提供样本试管”，患者将唾液吐到试管里，然后将试管寄回，稍后便会收到结果。英国 NHS 宣布，它在试行一个居家检测疑似病例的方案，这样便可消除患者前往医院时感染其他人的风险，也可消除患者使用救护车后必须对救护车进行消毒的风险。在进行免下车检测 COVID-19 疑似病例时，医护专业人员可以采取适当的预防措施来提取样本。
Il prévoit une hausse des coûts de production, alors que les fournisseurs tentent de répondre à la demande, et moins de promotions.	他预计，随着供应商尽力满足需求，生产成本将上升，而特惠活动则会减少。
Au début et à la mi-janvier 2020, le virus s’est propagé à d’autres provinces chinoises, aidé par les migrations du Nouvel An chinois et le fait que Wuhan est un pôle de transports ainsi qu’un lieu de correspondance ferroviaire majeur.	在 2020 年 1 月初至 1 月中旬，受中国春节人口大流动和武汉作为交通枢纽和主要铁路枢纽的影响，病毒传播到了中国其他省份。
Nous pourrions également procéder au suivi de l’efficacité ou des effets indésirables de ces médicaments ou vaccins.	我们还可以跟踪这些药物或疫苗接种的有效性或任何不良反应。
Les organisations du secteur des arts et de la culture ont tenté de maintenir leur mission (souvent financée par l’État) pour offrir un accès au patrimoine culturel à la communauté, assurer la sécurité de leurs employés et du public et soutenir les artistes dans la mesure du possible.	艺术和文化产业组织努力坚持其使命（通常由政府资助），向社区展示文化遗产，维护其雇员和公众的安全，并尽可能为艺术家提供支持。
Il a été confirmé que l’épidémie s’était étendue à l’Italie le 31 janvier, lorsque deux touristes chinois ont été testés positifs au SARS-CoV-2 à Rome.	1 月 31 日，两名中国游客在罗马被检测出 SARS-CoV-2 结果呈阳性，疫情确认蔓延到了意大利。
Mise en place de l’échantillonnage virologique étendu	建立扩展病毒学采样
Cette situation a poussé certains auteurs à examiner des protocoles de préparation des échantillons qui impliquent de chauffer les échantillons à 98 °C (208 °F) pendant 5 minutes pour libérer les génomes ARN afin de poursuivre le dépistage.Le 31 mars, il a été annoncé que les Émirats arabes unis étaient à présent le pays testant la plus grande partie de sa population par habitant pour le Coronavirus, et étaient en passe d’intensifier le dépistage pour atteindre la majorité de la population.	这导致一些发起人探索样本制备方案，其涉及将样本加热到 98 °C (208 °F) 达到 5 分钟，以释放 RNA 基因组进行进一步检测。阿拉伯联合酋长国在 3 月 31 日宣布，现在已对其更多人口进行了新冠病毒检测，检测人数多于任何其他国家，并且正在扩大检测水平，以让大量民众接受检测。
